COUNTYNAME,name,number,gender,birthyear,party,vote_share,vote_ratio,elected,是否現任
連江縣,蘇柏豪,1,男,1986,樹黨,927,0.13 ,0,0
連江縣,朱秀珍,2,女,1966,無黨籍及未經政黨推薦,1284,0.17 ,0,0
連江縣,魏耀乾,3,男,1950,無黨籍及未經政黨推薦,336,0.05 ,0,0
連江縣,劉增應,4,男,1958,中國國民黨,4861,0.66 ,1,1
金門縣,楊鎮浯,1,男,1972,中國國民黨,23520,0.48 ,1,0
金門縣,洪志恒,2,男,1968,金門高粱黨,832,0.02 ,0,0
金門縣,汪承樺,3,女,1960,教科文預算保障e聯盟,403,0.01 ,0,0
金門縣,陳福海,4,男,1963,無黨籍及未經政黨推薦,22719,0.46 ,0,1
金門縣,謝宜璋,5,男,1967,無黨籍及未經政黨推薦,1389,0.03 ,0,0
金門縣,洪和成,6,男,1961,無黨籍及未經政黨推薦,366,0.01 ,0,0
宜蘭縣,林信華,1,男,1967,無黨籍及未經政黨推薦,27399,0.11 ,0,0
宜蘭縣,林姿妙,2,女,1952,中國國民黨,123767,0.49 ,1,0
宜蘭縣,陳歐珀,3,男,1962,民主進步黨,95609,0.38 ,0,0
宜蘭縣,林錦坤,4,男,1964,無黨籍及未經政黨推薦,1922,0.01 ,0,0
宜蘭縣,陳秋境,5,男,1963,無黨籍及未經政黨推薦,1424,0.01 ,0,0
新竹縣,楊文科,1,男,1951,中國國民黨,107877,0.38 ,1,0
新竹縣,葉芳棟,2,男,1969,無黨籍及未經政黨推薦,5168,0.02 ,0,0
新竹縣,鄭朝方,3,男,1980,民主進步黨,78170,0.28 ,0,0
新竹縣,徐欣瑩,4,女,1972,民國黨,91190,0.32 ,0,0
苗栗縣,朱泰平,1,男,1955,無黨籍及未經政黨推薦,6880,0.02 ,0,0
苗栗縣,徐定禎,2,男,1961,無黨籍及未經政黨推薦,112704,0.37 ,0,0
苗栗縣,黃玉燕,3,女,1961,無黨籍及未經政黨推薦,9030,0.03 ,0,0
苗栗縣,徐耀昌,4,男,1955,中國國民黨,175756,0.58 ,1,1
彰化縣,魏明谷,1,男,1963,民主進步黨,283269,0.40 ,0,1
彰化縣,王惠美,2,女,1968,中國國民黨,377795,0.53 ,1,0
彰化縣,白雅燦,3,男,1945,無黨籍及未經政黨推薦,7402,0.01 ,0,0
彰化縣,黃文玲,4,女,1969,無黨籍及未經政黨推薦,34690,0.05 ,0,0
彰化縣,洪敏雄,5,男,1961,無黨籍及未經政黨推薦,7263,0.01 ,0,0
南投縣,林明溱,1,男,1951,中國國民黨,195385,0.67 ,1,1
南投縣,洪國浩,2,男,1958,民主進步黨,97460,0.33 ,0,0
雲林縣,林佳瑜,1,男,1959,無黨籍及未經政黨推薦,6163,0.02 ,0,0
雲林縣,李進勇,2,男,1951,民主進步黨,163325,0.42 ,0,1
雲林縣,王麗萍,3,女,1962,無黨籍及未經政黨推薦,11261,0.03 ,0,0
雲林縣,張麗善,4,女,1964,中國國民黨,210770,0.54 ,1,0
嘉義縣,翁章梁,1,男,1965,民主進步黨,145288,0.51 ,1,0
嘉義縣,吳芳銘,2,男,1971,無黨籍及未經政黨推薦,51020,0.18 ,0,0
嘉義縣,林國龍,3,男,1950,無黨籍及未經政黨推薦,4596,0.02 ,0,0
嘉義縣,吳育仁,4,男,1969,中國國民黨,84243,0.30 ,0,0
屏東縣,李鎔任,1,男,1952,無黨籍及未經政黨推薦,9819,0.02 ,0,0
屏東縣,蘇清泉,2,男,1957,中國國民黨,197518,0.42 ,0,0
屏東縣,潘孟安,3,男,1963,民主進步黨,262809,0.56 ,1,1
臺東縣,鄺麗貞,1,女,1963,無黨籍及未經政黨推薦,3049,0.03 ,0,0
臺東縣,劉櫂豪,2,男,1967,民主進步黨,44264,0.37 ,0,0
臺東縣,黃裕斌,3,男,1949,無黨籍及未經政黨推薦,640,0.01 ,0,0
臺東縣,彭權國,4,男,1963,無黨籍及未經政黨推薦,988,0.01 ,0,0
臺東縣,饒慶鈴,5,女,1969,中國國民黨,70577,0.59 ,1,0
花蓮縣,徐榛蔚,1,女,1968,中國國民黨,121297,0.72 ,1,0
花蓮縣,劉曉玫,2,女,1973,民主進步黨,43879,0.26 ,0,0
花蓮縣,黄師鵬,3,男,1957,無黨籍及未經政黨推薦,4420,0.03 ,0,0
澎湖縣,翁珍聖,1,男,1970,無黨籍及未經政黨推薦,1379,0.03 ,0,0
澎湖縣,鄭清發,2,男,1958,無黨籍及未經政黨推薦,4330,0.08 ,0,0
澎湖縣,陳大松,3,男,1958,無黨籍及未經政黨推薦,5822,0.11 ,0,0
澎湖縣,吳政隆,4,男,1966,無黨籍及未經政黨推薦,2999,0.06 ,0,0
澎湖縣,賴峰偉,5,男,1953,中國國民黨,20570,0.39 ,1,0
澎湖縣,陳光復,6,男,1955,民主進步黨,17347,0.33 ,0,1
澎湖縣,呂華苑,7,女,1959,無黨籍及未經政黨推薦,468,0.01 ,0,0
基隆市,謝立功,1,男,1961,中國國民黨,86529,0.46 ,0,0
基隆市,林右昌,2,男,1971,民主進步黨,102167,0.54 ,1,1
新竹市,謝文進,1,男,1954,無黨籍及未經政黨推薦,44101,0.20 ,0,0
新竹市,李驥羣,2,男,1956,無黨籍及未經政黨推薦,705,0.00 ,0,0
新竹市,黃源甫,3,男,1954,無黨籍及未經政黨推薦,3603,0.02 ,0,0
新竹市,許明財,4,男,1953,中國國民黨,60508,0.28 ,0,0
新竹市,郭榮睿,5,男,1954,無黨籍及未經政黨推薦,574,0.00 ,0,0
新竹市,林智堅,6,男,1975,民主進步黨,107612,0.50 ,1,1
嘉義市,蕭淑麗,1,女,1967,無黨籍及未經政黨推薦,25572,0.18 ,0,0
嘉義市,黃敏惠,2,女,1959,中國國民黨,58558,0.41 ,1,0
嘉義市,黃宏成台灣阿成世界偉人財神總統,3,男,1968,無黨籍及未經政黨推薦,1822,0.01 ,0,0
嘉義市,涂醒哲,4,男,1951,民主進步黨,56256,0.40 ,0,1
臺北市,吳蕚洋,1,男,1960,無黨籍及未經政黨推薦,5611,0.00 ,0,0
臺北市,丁守中,2,男,1954,中國國民黨,577096,0.41 ,0,0
臺北市,姚文智,3,男,1965,民主進步黨,244342,0.17 ,0,0
